X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,FEATUREDES,NAME,ABB_NAME,ADDRESS,ZIPCODE,LONG_CEN,LAT_CEN,OSPI_CODE,SCH_CLASS,DISTRICT,PIN,MAJOR,MINOR
-122.322727058278,47.4427858538765,633,6600247,600823,665,School-Other Facility,Transportation-Highline,Transportation,17910 8th Ave S,98148,-122.3227296,47.44278401,0,10,HIGHLINE,3223049003,322304,9003
-122.28072709433,47.435139318171,634,1319,12231,661,School-Junior High/Middle,Chinook Middle School,Chinook,18650 42nd Ave S,98188,-122.28072968,47.43513742,3098,10,HIGHLINE,3423049044,342304,9044
-122.190406071613,47.6121193264656,635,10000023,103991,663,School-College or University,Seattle University Eastside Center,Seattle U Eastside ,200 112th Ave NE,98004,-122.19040776,47.61211727,0,20,BELLEVUE,2543200070,254320,0070
-122.211083485355,47.6281420310464,636,119,163,661,School-Junior High/Middle,Chinook Middle School,Chinook,2001 98th Ave NE,98004,-122.21108511,47.62814001,3338,10,BELLEVUE,8086000205,808600,0205
-122.164537166773,47.4026509082375,637,579,8590,660,School-Elementary,Sunrise Elementary School,Sunrise,22300 132nd Ave SE,98042,-122.16453991,47.40264876,4420,10,KENT,1022059180,102205,9180
-122.025872458367,47.6073744865726,638,175,532317,662,School-High,Eastside Catholic High School,Eastside Catholic,232 228th Ave SE,98074,-122.02587406,47.60737209,0,20,LAKE WASHINGTON,3425069091,342506,9091
-122.01064775926,47.5594910053615,639,6600633,77692,661,School-Junior High/Middle,Pacific Cascade Middle School,Pacific Cascade,24635 SE Issaquah-Fall City Rd,98029,-122.01064959,47.55948853,5200,10,ISSAQUAH,1424069019,142406,9019
-122.000248054746,47.3728155946881,640,6600599,667199,661,School-Junior High/Middle,Summit Trail Middle School,Summit Trail,25600 SE Summit Landsburg Rd,98051,-122.00025093,47.37281307,4556,10,TAHOMA,2622069047,262206,9047
-122.30026442169,47.5207407566874,641,2361,1239739,664,School-Alternative,Raisbeck Aviation High School,Raisbeck Aviation,9229 East Marginal Way S,98108,-122.30026655,47.52073887,0,10,HIGHLINE,5729800020,572980,0020
-122.169228417079,47.6868761243517,642,478,30825,660,School-Elementary,Mark Twain Elementary School,Twain,9525 130th Ave NE,98033,-122.16922975,47.68687405,0,10,LAKE WASHINGTON,3888100027,388810,0027
-122.298834665126,47.3563545099858,643,89,2362,660,School-Elementary,Mark Twain Elementary School,Twain,2450 S Star Lake Rd,98003,-122.29883768,47.35635265,3627,10,FEDERAL WAY,7204800010,720480,0010
-122.36686071277,47.3093630744689,644,326,2384,660,School-Elementary,Olympic View Elementary School,Olympic View,2626 SW 327th St,98023,-122.36686399,47.30936136,3432,10,FEDERAL WAY,1321039008,132103,9008
-122.22863928557,47.5324620109144,645,544,9282,660,School-Elementary,Lakeridge Elementary School,Lakeridge,8215 SE 78th St,98040,-122.22864135,47.53246002,2981,10,MERCER ISLAND,2524049015,252404,9015
-122.341086889421,47.2872443410036,646,6600525,2392,660,School-Elementary,Enterprise Elementary School,Enterprise,35101 5th Ave SW,98023,-122.34109029,47.28724259,4470,10,FEDERAL WAY,4159200704,415920,0704
-122.289320466785,47.6935815759524,647,971,12394,660,School-Elementary,Our Lady of the Lake Catholic School,Our Lady of the Lake,3520 NE 89th St,98115,-122.28932183,47.69357971,0,20,SEATTLE,6844701005,684470,1005
-122.37416694365,47.5095940116774,648,6600015,524594,664,School-Alternative,Westside School,Westside,10404 34th Ave SW,98146,-122.37416912,47.50959221,0,20,SEATTLE,7804400110,780440,0110
-122.340484252165,47.6951045840056,649,6600134,269619,661,School-Junior High/Middle,Robert Eagle Staff Middle School,Eagle Staff,1330 N 90th St,98103,-122.34048561,47.69510282,0,10,SEATTLE,3126049064,312604,9064
-122.324879704933,47.5416068694322,650,10000025,486287,663,School-College or University,South Seattle College-Georgetown Campus,SSC Georgetown,6800 E Marginal Way S,98108,-122.32488174,47.54160502,0,10,SEATTLE,0001800137,000180,0137
-122.184428546197,47.5408784336934,651,6600679,9370,661,School-Junior High/Middle,Risdon Middle School,Risdon,6928 116th Ave SE,98056,-122.18443055,47.54087634,0,10,RENTON,2824059127,282405,9127
-122.308278219887,47.6254790631908,652,949,442411,664,School-Alternative,St. Joseph School,St. Joseph,700 18th Ave E,98112,-122.30827988,47.62547722,0,20,SEATTLE,1336800825,133680,0825
-122.028711927644,47.5223646597607,653,355,570012,662,School-High,Issaquah High School,Issaquah High,700 2nd Ave SE,98027,-122.02871395,47.52236219,3385,10,ISSAQUAH,3424069030,342406,9030
-122.059925010245,47.6699979516733,654,649,12139,660,School-Elementary,Emily Dickinson Elementary School,Dickinson,7040 208th Ave NE,98053,-122.05992634,47.66999568,4018,10,LAKE WASHINGTON,0825069008,082506,9008
-122.304294136764,47.6264437034911,655,937,435298,662,School-High,Holy Names Academy,Holy Names,728 21st Ave E,98112,-122.3042958,47.62644185,0,20,SEATTLE,1338800660,133880,0660
